"","Group.1","x"
"399","32131",326
"400","32132",296
"401","32134",215
"402","32136",294
"403","32137",114
"404","32141",406
"405","32145",1
"406","32148",394
"407","32159",103
"408","32162",147
"409","32164",554
"410","32168",440
"411","32169",307
"412","32174",447
"413","32175",1
"414","32176",609
"415","32177",222
"416","32179",326
"417","32180",214
"418","32181",1
"419","32182",1
"420","32185",1
"421","32187",112
"422","32189",1
"423","32192",1
"424","32193",1
"425","32195",113
"426","32202",587
"427","32203",214
"428","32204",227
"429","32205",254
"430","32206",654
"431","32207",375
"432","32208",473
"433","32209",340
"434","32210",425
"435","32211",125
"436","32212",1
"437","32216",307
"438","32217",26
"439","32218",261
"440","32219",326
"441","32220",224
"442","32221",508
"443","32222",2
"444","32223",372
"445","32224",508
"446","32225",323
"447","32226",215
"448","32228",1
"449","32233",621
"450","32234",113
"451","32244",362
"452","32245",1
"453","32246",320
"454","32250",281
"455","32254",329
"456","32256",316
"457","32257",103
"458","32258",508
"459","32259",621
"460","32266",406
"461","32277",417
"462","32301",345
"463","32303",387
"464","32304",290
"465","32305",520
"466","32308",181
"467","32309",508
"468","32310",587
"469","32311",215
"470","32312",351
"471","32314",1
"472","32317",112
"473","32320",554
"474","32321",326
"475","32322",326
"476","32327",587
"477","32328",519
"478","32331",1
"479","32332",1
"480","32333",541
"481","32334",1
"482","32340",147
"483","32341",1
"484","32343",1
"485","32344",273
"486","32346",1
"487","32347",530
"488","32348",610
"489","32351",328
"490","32352",1
"491","32355",1
"492","32358",1
"493","32359",1
"494","32360",1
"495","32361",1
"496","32362",1
"497","32401",268
"498","32402",1
"499","32403",113
"500","32404",92
"501","32405",381
"502","32407",395
"503","32408",238
"504","32409",1
"505","32410",1
"506","32413",473
"507","32417",1
"508","32420",1
"509","32421",112
"510","32424",519
"511","32425",282
"512","32427",1
"513","32428",588
"514","32431",496
"515","32433",406
"516","32435",428
"517","32439",215
"518","32440",519
"519","32444",598
"520","32445",1
"521","32446",384
"522","32447",1
"523","32448",394
"524","32455",112
"525","32456",428
"526","32459",37
"527","32460",283
"528","32461",113
"529","32462",112
"530","32464",113
"531","32465",112
"532","32501",318
"533","32502",508
"534","32503",48
"535","32504",414
"536","32505",303
"537","32506",372
"538","32507",159
"539","32513",1
"540","32514",362
"541","32521",1
"542","32526",428
"543","32531",113
"544","32533",215
"545","32534",340
"546","32535",215
"547","32536",395
"548","32538",1
"549","32539",326
"550","32541",259
"551","32542",215
"552","32544",113
"553","32547",451
"554","32548",302
"555","32550",539
"556","32561",576
"557","32563",598
"558","32565",283
"559","32566",496
"560","32567",1
"561","32569",451
"562","32570",92
"563","32571",351
"564","32577",282
"565","32578",306
"566","32579",1
"567","32580",215
"568","32583",496
"569","32601",170
"570","32603",112
"571","32604",2
"572","32605",571
"573","32606",284
"574","32607",284
"575","32608",170
"576","32609",462
"577","32610",2
"578","32611",1
"579","32615",542
"580","32616",2
"581","32618",2
"582","32619",2
"583","32621",1
"584","32625",224
"585","32626",318
"586","32628",112
"587","32640",224
"588","32641",283
"589","32643",576
"590","32653",1
"591","32656",496
"592","32658",1
"593","32666",113
"594","32667",215
"595","32669",327
"596","32680",428
"597","32681",1
"598","32683",1
"599","32686",112
"600","32692",112
"601","32693",428
"602","32694",112
"603","32696",598
"604","32701",390
"605","32703",203
"606","32704",1
"607","32707",473
"608","32708",351
"609","32709",1
"610","32712",417
"611","32713",542
"612","32714",203
"613","32720",300
"614","32724",598
"615","32725",508
"616","32726",307
"617","32730",496
"618","32732",214
"619","32735",1
"620","32736",224
"621","32738",261
"622","32746",70
"623","32750",203
"624","32751",588
"625","32752",112
"626","32754",394
"627","32756",1
"628","32757",4
"629","32759",112
"630","32763",203
"631","32764",1
"632","32765",310
"633","32766",1
"634","32767",1
"635","32771",521
"636","32772",1
"637","32773",148
"638","32774",1
"639","32776",474
"640","32777",1
"641","32778",654
"642","32779",394
"643","32780",384
"644","32784",261
"645","32789",381
"646","32790",1
"647","32792",169
"648","32794",1
"649","32796",284
"650","32798",1
"651","32799",1
"652","32801",372
"653","32802",1
"654","32803",400
"655","32804",81
"656","32805",180
"657","32806",81
"658","32807",103
"659","32808",148
"660","32809",505
"661","32810",373
"662","32811",395
"663","32812",598
"664","32814",113
"665","32816",1
"666","32817",70
"667","32818",373
"668","32819",544
"669","32820",2
"670","32821",462
"671","32822",315
"672","32824",576
"673","32825",554
"674","32826",542
"675","32827",36
"676","32828",406
"677","32829",2
"678","32830",554
"679","32832",326
"680","32833",1
"681","32835",26
"682","32836",576
"683","32837",203
"684","32839",199
"685","32859",1
"686","32862",1
"687","32899",1
"688","32901",214
"689","32903",599
"690","32904",473
"691","32905",632
"692","32907",587
"693","32909",214
"694","32920",508
"695","32922",92
"696","32925",1
"697","32926",273
"698","32927",224
"699","32931",37
"700","32934",554
"701","32935",261
"702","32937",340
"703","32940",170
"704","32949",113
"705","32950",2
"706","32951",565
"707","32952",181
"708","32953",417
"709","32955",48
"710","32958",103
"711","32960",414
"712","32962",216
"713","32963",362
"714","32966",255
"715","32967",542
"716","32968",326
"717","32970",1
"718","32976",326
"719","33001",1
"720","33004",147
"721","33009",280
"722","33010",500
"723","33011",1
"724","33012",568
"725","33013",181
"726","33014",340
"727","33015",214
"728","33016",203
"729","33018",48
"730","33019",318
"731","33020",336
"732","33021",343
"733","33022",1
"734","33023",358
"735","33024",214
"736","33025",284
"737","33026",270
"738","33027",126
"739","33028",587
"740","33029",621
"741","33030",192
"742","33031",113
"743","33032",69
"744","33033",632
"745","33034",295
"746","33035",113
"747","33036",643
"748","33037",418
"749","33040",551
