"","GEO.id2","ESTAB"
"129813","32425","2"
"130101","32428","3"
"130538","32433","3"
"130794","32435","2"
"131436","32444","1"
"131793","32446","2"
"132443","32456","2"
"132693","32459","3"
"133437","32465","1"
"133602","32501","3"
"133969","32502","1"
"134236","32503","3"
"134746","32504","6"
"135373","32505","8"
"135975","32506","2"
"136372","32507","3"
"136866","32514","1"
"137321","32526","5"
"137724","32533","3"
"137976","32534","1"
"138546","32536","6"
"139040","32539","2"
"139220","32540","1"
"139287","32541","5"
"140029","32544","1"
"140103","32547","7"
"140569","32548","7"
"141626","32561","2"
"141923","32563","2"
"142270","32565","3"
"142419","32566","2"
"142805","32569","3"
"143163","32570","1"
"143537","32571","10"
"143982","32577","1"
"144088","32578","5"
"144493","32579","1"
"144677","32583","2"
"144897","32601","4"
"145509","32605","7"
"146031","32606","4"
"146457","32607","1"
"147298","32609","6"
"147894","32615","3"
"148249","32617","1"
"148523","32621","1"
"148754","32626","5"
"149105","32628","2"
"149388","32641","1"
"149563","32643","4"
"149928","32653","3"
"150178","32656","1"
"150418","32664","1"
"150572","32667","2"
"150728","32669","1"
"150988","32680","2"
"151607","32696","1"
"151873","32701","6"
"152502","32703","10"
"153116","32707","4"
"153604","32708","1"
"153993","32709","1"
"154043","32712","6"
"154326","32713","1"
"154538","32714","5"
"155125","32720","4"
"155703","32721","1"
"155733","32724","6"
"156055","32725","4"
"156365","32726","2"
"156796","32730","1"
"157189","32736","2"
"157316","32738","3"
"157534","32744","2"
"157593","32746","9"
"158119","32750","12"
"158708","32751","11"
"159112","32754","1"
"159339","32757","7"
"159923","32763","6"
"160538","32765","15"
"161196","32766","1"
"161332","32771","11"
"162112","32773","5"
"162852","32778","2"
"163214","32779","6"
"163544","32780","4"
"164214","32789","7"
"164921","32791","1"
"164936","32792","5"
"165495","32796","2"
"165825","32798","1"
"166272","32803","9"
"166954","32804","9"
"167489","32805","5"
"167892","32806","6"
"168422","32807","8"
"168969","32808","9"
"169502","32809","11"
"170260","32810","5"
"170690","32811","5"
"171586","32817","3"
"172012","32818","6"
"172377","32819","10"
"173094","32820","2"
"173263","32821","1"
"173626","32822","3"
"174065","32824","2"
"174604","32826","1"
"175079","32828","5"
"175596","32829","2"
"176179","32835","4"
"176511","32836","3"
"176746","32837","16"
"177358","32839","6"
"177901","32853","1"
"178022","32901","11"
"178652","32903","3"
"178937","32904","5"
"179665","32905","2"
"180065","32907","3"
"180423","32909","2"
"180596","32920","2"
"180809","32922","10"
"181329","32925","1"
"181379","32926","1"
"181666","32927","2"
"181881","32931","5"
"182212","32934","4"
"182465","32935","11"
"183142","32937","6"
"183617","32940","3"
"184223","32949","1"
"184294","32950","1"
"184381","32951","3"
"184570","32952","8"
"185081","32953","3"
"185474","32955","3"
"185946","32958","7"
"186407","32960","3"
"187069","32962","2"
"187391","32963","1"
"187743","32964","1"
"187773","32966","6"
"188551","32968","1"
"188852","33004","6"
"189368","33009","9"
"189972","33010","24"
"190655","33012","35"
"191469","33013","20"
"191953","33014","11"
"192596","33015","6"
"193092","33016","14"
"193676","33018","7"
"194135","33019","1"
"194358","33020","8"
"194965","33021","10"
"195602","33023","6"
"196176","33024","7"
"196773","33025","2"
"197172","33026","10"
"197717","33027","6"
"198283","33028","5"
"198543","33029","2"
"198873","33030","5"
"199372","33031","2"
"199474","33032","3"
"199748","33033","4"
"200447","33035","1"
"200556","33036","2"
"200838","33037","4"
"201272","33040","8"
"202022","33042","1"
"202168","33043","1"
"202392","33050","3"
"202808","33054","11"
"203261","33055","2"
"203547","33056","7"
"203928","33060","7"
"204380","33062","6"
"204926","33063","11"
"205529","33064","11"
"206167","33065","6"
"206688","33066","1"
"206778","33067","3"
"207234","33068","4"
"207578","33069","5"
"208062","33070","2"
"208301","33071","14"
"208888","33073","5"
"209548","33076","5"
"210108","33112","1"
"210153","33122","4"
"210577","33125","5"
"211011","33126","16"
"211594","33127","10"
"212162","33128","6"
"212520","33130","7"
"212978","33131","11"
"213495","33132","12"
"214025","33133","2"
"214516","33134","15"
"215143","33135","21"
"215687","33136","2"
"215881","33137","5"
"216343","33138","4"
"216852","33139","6"
"217554","33140","4"
"217914","33141","6"
"218229","33142","27"
"218978","33143","6"
"219561","33144","13"
"220220","33145","10"
"220705","33146","2"
"221186","33147","12"
"221694","33149","3"
"221999","33150","3"
"222373","33154","4"
"222766","33155","25"
"223568","33156","5"
"224256","33157","16"
"225029","33160","9"
"225578","33161","3"
"225993","33162","8"
"226641","33165","10"
"227221","33166","11"
"227902","33167","2"
"228085","33168","10"
"228525","33169","4"
"229164","33172","5"
"229841","33173","4"
"230210","33174","8"
"230657","33175","15"
"231159","33176","10"
"231810","33177","6"
"232149","33178","3"
"232650","33179","7"
"233063","33180","17"
"233703","33181","4"
"234193","33182","4"
"234306","33183","5"
"234720","33184","5"
"235058","33185","2"
"235328","33186","10"
"236072","33187","4"
"236240","33189","5"
"236679","33190","1"
"236703","33193","2"
"236990","33196","6"
"237453","33243","1"
"237585","33301","7"
"238027","33304","4"
"238700","33305","3"
"239103","33306","3"
"239477","33308","8"
"240022","33309","9"
"240583","33311","16"
"241221","33312","12"
"241777","33313","6"
"242295","33314","9"
"242919","33315","5"
"243318","33316","6"
"243829","33317","9"
"244283","33319","5"
"244681","33321","9"
"245122","33322","2"
"245518","33323","6"
"246051","33324","10"
"246676","33325","9"
"247043","33326","8"
"247471","33327","3"
"247655","33328","7"
"248159","33330","5"
"248463","33331","4"
"248829","33332","2"
"249013","33334","11"
"249720","33351","10"
"250350","33388","1"
"250616","33401","4"
"251232","33403","2"
"251745","33404","2"
"252172","33405","2"
"252612","33406","2"
"253005","33407","5"
"253489","33408","5"
"253991","33409","7"
"254583","33410","7"
"255231","33411","7"
"255828","33412","1"
"255936","33413","4"
"256197","33414","9"
"256877","33415","4"
"257399","33417","3"
"257731","33418","1"
"258135","33426","5"
"258775","33427","1"
"258790","33428","4"
"259209","33430","1"
"259557","33431","8"
"260239","33432","7"
"260803","33433","4"
"261229","33434","10"
"261669","33435","5"
"262126","33436","4"
"262495","33437","5"
"262818","33440","4"
"263146","33441","5"
"263669","33442","7"
"264163","33444","5"
"264607","33445","5"
"265067","33446","3"
"265349","33449","3"
